rank,grade,usernme,uploads,subscribers,top_views
453,A- ,#Refugio Mental,434,11.9M,2585138389
454,A- ,Invento na Hora,777,11.9M,2402353082
455,A ,AzzyLand,1369,11.9M,4767620341
456,A- ,TazerCraft,3301,11.8M,4192268657
457,A ,Zé Neto e Cristiano,132,11.8M,6608079170
458,A ,Henrique e Juliano,202,11.8M,7684715729
459,B+ ,Kurzgesagt – In a Nutshell,117,11.8M,961534499
460,A ,Indosiar,41346,11.8M,6502647226
461,A- ,DemiLovatoVEVO,169,11.7M,4803879302
462,A ,Green Gold,786,11.7M,5241605522
463,B+ ,Matt Steffanina,349,11.7M,2159313673
464,B+ ,Tfue,635,11.7M,1242527109
465,A- ,ChainsmokersVEVO,188,11.7M,9722305944
466,A- ,Genierock,1083,11.7M,9787059384
467,A- ,ZHC,270,11.7M,798657259
468,A ,The LaBrant Fam,443,11.6M,3495802882
469, ,Live,--,11.6M,-- 
470,B+ ,FunToys Collector Disney Toys Revi…,2880,11.6M,14903288204
471,A ,Camila Loures,1584,11.6M,2326898649
472,B+ ,Farruko,138,11.6M,827623098
473,A ,Official Pink Panther,513,11.6M,5771972470
474,A- ,Vete a la Versh,131,11.6M,1805113909
475,B ,EU FICO LOKO,918,11.5M,1044282907
476,B+ ,Wassabi,1003,11.5M,4365504381
477,A ,Volga Video,33921,11.5M,6468913228
478,A ,Diana Play,180,11.5M,3670174156
479,D- ,Apple,295,11.4M,866206891
480,A- ,FAP TV,481,11.4M,4298333060
481,A+ ,Sony PAL,11612,11.4M,5870179414
482,A- ,TED-Ed,1668,11.4M,1864590027
483,B+ ,CrazyRussianHacker,1539,11.4M,2799961771
484,B ,Dani Russo Tv,203,11.4M,544959854
485,B ,Sky Does Everything,2098,11.4M,3873946838
486,A- ,theRadBrad,6709,11.4M,4682209853
487,A- ,wifistudy,21015,11.4M,1610358521
488,A ,Raffy Tulfo in Action,4506,11.4M,5876672561
489,B ,Zoella,377,11.4M,1117383298
490,B+ ,Tiana,733,11.3M,2875571182
491,A- ,Morgz,649,11.3M,2268700749
492,A- ,dangmattsmith,738,11.3M,1839891773
493,A- ,Ami Rodriguez,298,11.3M,1537428256
494,A ,POPS Kids,7268,11.3M,11583634503
495,A- ,Ranz Kyle,316,11.3M,1057571313
496,A ,Chad Wild Clay,397,11.3M,3287244222
497,A- ,Bela Bagunça,718,11.3M,2338198509
498,A- ,Matt Stonie,355,11.3M,2113643425
499,B+ ,Mark Rober,86,11.3M,1229769080
500,A ,FunFun Toy Doll TV,694,11.3M,4538045269
501,B- ,Nao FunFun,95,11.2M,3143114
502, ,Hip Hop Music - Topic,--,11.2M,-- 
503,A- ,Bie The Ska,1017,11.2M,3427980418
504,A- ,JesseAndMike,478,11.2M,7351753609
505,B+ ,SAAIHALILINTAR,326,11.2M,883827762
506, ,TV Shows,--,11.2M,-- 
507,A- ,AviciiOfficialVEVO,135,11.1M,7043920861
508,A- ,PlayHard,1762,11.1M,1431453250
509,B+ ,ExpCaseros,788,11.1M,2234658682
510,B- ,Meghan Trainor,29,11.1M,5921664
511,A- ,Alan Becker,98,11.1M,1696125343
512,A ,RobleisIUTU,629,11.1M,2388630007
513,A- ,Its JoJo Siwa,585,11.1M,3040942187
514,B+ ,Baby Big Mouth,4104,11.1M,12056719684
515,B+ ,MyLifeAsEva,276,11.1M,1242890473
516,B+ ,MrGear,708,11.1M,2868601687
517,A ,Robin Hood Gamer,2836,11.1M,3059357433
518,A- ,★ Kids Roma Show,468,11.1M,2938957266
519,A- ,ShawnMendesVEVO,120,11M,7873537583
520,A ,Baim Paula,578,11M,1439404403
521,B+ ,YOLO,112,11M,702894653
522,A ,Wesley Safadão,300,11M,5284815090
523,B ,elliegoulding,77,11M,166850385
524,A- ,#Refúgio Mental,472,11M,1854175760
